user_id,feature_used,session_duration,engagement_score,accessibility_settings,age_group,gender,additional_attributes,high_accessibility_users,intersectional_label
user_4737,Multilingual,60.77,4.0,4,Teenager,Unknown,LGBTQ+,True,Teenager - Unknown - LGBTQ+
user_1492,Text-to-Speech,20.2,5.0,4,Professional,Non-Binary,None,True,Professional - Non-Binary - None
user_5936,Colorblind Mode,93.78,2.0,2,Adult,Female,None,False,Adult - Female - None
user_5519,Colorblind Mode,26.36,3.0,1,Adult,Unknown,LGBTQ+,False,Adult - Unknown - LGBTQ+
user_1853,High Contrast Mode,91.67,5.0,1,Young Adult,Male,None,False,Young Adult - Male - None
user_8101,High Contrast Mode,20.72,4.0,0,Adult,Male,None,False,Adult - Male - None
user_5356,Text-to-Speech,26.34,1.0,2,Senior,Unknown,Person of Color,False,Senior - Unknown - Person of Color
user_8515,Text-to-Speech,93.82,4.0,5,Teenager,Unknown,Person of Color,True,Teenager - Unknown - Person of Color
user_6496,Text-to-Speech,32.02,3.0,4,Professional,Unknown,Person of Color,True,Professional - Unknown - Person of Color
user_3568,Colorblind Mode,90.63,4.0,3,Senior,Unknown,LGBTQ+,True,Senior - Unknown - LGBTQ+
user_7424,Text-to-Speech,107.66,3.0,3,Young Adult,Unknown,LGBTQ+,True,Young Adult - Unknown - LGBTQ+
user_3453,High Contrast Mode,5.95,5.0,5,Young Adult,Male,None,True,Young Adult - Male - None
user_5460,Text-to-Speech,31.42,4.0,4,Teenager,Female,None,True,Teenager - Female - None
user_3349,High Contrast Mode,77.99,5.0,1,Teenager,Unknown,Person of Color,False,Teenager - Unknown - Person of Color
user_3322,Colorblind Mode,79.81,2.0,4,Adult,Non-Binary,None,True,Adult - Non-Binary - None
user_2717,High Contrast Mode,20.87,1.0,1,Adult,Unknown,LGBTQ+,False,Adult - Unknown - LGBTQ+
user_7759,High Contrast Mode,62.68,4.0,3,Senior,Non-Binary,None,True,Senior - Non-Binary - None
user_562,High Contrast Mode,66.38,5.0,1,Teenager,Non-Binary,None,False,Teenager - Non-Binary - None
user_2140,Text-to-Speech,88.4,3.0,0,Senior,Female,None,False,Senior - Female - None
